State,TotalPop,Men,Women,Citizen,IncomePerCap,Poverty,ChildPoverty,Unemployment
Alabama,4830620,2341093,2489527,3620994,1392323,1458.1000000000001,2121.8000000000006,757.7999999999998
Alaska,733375,384160,349215,523946,879656,386.9,489.69999999999993,285.8
Arizona,6641928,3299088,3342840,4526594,315788,319.5,446.0999999999999,179.5
Arkansas,2958208,1451913,1506295,2164083,1505402,1616.3999999999987,2355.7999999999997,673.7
California,38421464,19087135,19334329,24280349,1618351,966.8999999999999,1252.5000000000005,626.4000000000001
Colorado,5278906,2648667,2630239,3750953,1775824,920.6999999999998,1215.0,477.19999999999993
Connecticut,3593222,1751607,1841615,2574178,296201,75.2,97.6,65.3
Delaware,926454,448413,478041,681606,86856,37.5,56.7,23.8
District of Columbia,647484,306674,340810,485116,47675,18.0,26.7,9.6
Florida,19645772,9600009,10045763,13933052,1574624,1222.8,1776.5999999999997,695.7
Georgia,10006693,4883331,5123362,6978660,3269995,3529.4999999999986,5050.0999999999985,1585.9000000000008
Hawaii,1406299,709871,696428,1001729,159463,66.1,68.9,26.0
Idaho,1616547,810464,806083,1130550,943849,712.5,917.8000000000001,311.5999999999999
Illinois,12873761,6316899,6556862,8979999,2599543,1449.5000000000005,2043.3000000000006,813.4000000000002
Indiana,6568645,3235263,3333382,4801113,2205890,1277.9000000000003,1825.7,674.7000000000002
Iowa,3093526,1534595,1558931,2285126,2629031,1173.1999999999998,1558.2000000000007,456.19999999999993
Kansas,2892987,1439862,1453125,2053919,2620070,1352.7000000000003,1828.9999999999998,488.1000000000001
Kentucky,4397353,2164208,2233145,3297108,2479633,2619.3,3614.5999999999995,1120.5000000000002
Louisiana,4625253,2261156,2364097,3410634,1412135,1405.2000000000005,1982.1000000000004,590.9
Maine,1329100,650081,679019,1048274,412677,241.6,334.1,119.00000000000001
Maryland,5930538,2872643,3057895,4182241,793757,269.7,387.20000000000005,179.4
Massachusetts,6705586,3249650,3455936,4850598,497762,168.59999999999997,231.99999999999997,102.10000000000001
Michigan,9900571,4861973,5038598,7380136,1963963,1385.1000000000001,2018.5000000000005,826.9000000000002
Minnesota,5419171,2692166,2727005,3950807,2402107,1015.5000000000001,1346.7999999999995,432.90000000000003
Mississippi,2988081,1451723,1536358,2210424,1542014,2109.2999999999997,2973.7,986.0
Missouri,6045448,2964003,3081445,4525035,2473050,2076.6999999999994,2903.4999999999995,874.6
Montana,1014699,510163,504536,781250,1401158,880.2999999999998,1206.5000000000005,311.0000000000001
Nebraska,1869365,929606,939759,1333860,2449327,1113.6999999999998,1512.1000000000008,311.09999999999985
Nevada,2798636,1407735,1390901,1863799,447401,238.5,339.8,178.10000000000002
New Hampshire,1324201,653484,670717,1020130,318104,101.69999999999999,140.4,58.1
New Jersey,8904413,4343027,4561386,6053893,757775,221.20000000000002,319.8999999999999,188.3
New Mexico,2084117,1032414,1051703,1457632,719052,697.0000000000001,923.5,279.5
New York,19673174,9541801,10131373,13531404,1747765,897.8999999999999,1264.9999999999995,487.1999999999999
North Carolina,9845333,4795408,5049925,7107998,2251436,1936.9999999999995,2865.0,1045.2
North Dakota,721640,367963,353677,546486,1690727,605.5,721.1999999999999,142.1
Ohio,11575977,5662893,5913084,8709050,2153164,1349.3999999999994,1968.1999999999998,700.3000000000001
Oklahoma,3849733,1906944,1942789,2768561,1756514,1335.3,1832.3000000000004,487.4000000000001
Oregon,3939233,1948453,1990780,2867670,875229,624.8000000000001,844.7000000000002,357.40000000000003
Pennsylvania,12779559,6245344,6534215,9710416,1738799,880.6999999999998,1303.2999999999997,484.40000000000003
Puerto Rico,3583073,1713860,1869213,2726223,750178,3851.2000000000007,4696.400000000001,1510.9
Rhode Island,1053661,510388,543273,776565,178353,53.49999999999999,67.2,37.8
South Carolina,4777576,2322409,2455167,3566508,984950,975.8,1459.9000000000003,521.1999999999998
South Dakota,843190,423477,419713,621770,1672103,1105.1000000000001,1342.1,369.9
Tennessee,6499615,3167756,3331859,4828366,2037030,1847.7999999999995,2617.3,902.8000000000003
Texas,26538614,13171316,13367298,16864962,5982157,4358.4,6179.0999999999985,1711.5
Utah,2903379,1459229,1444150,1868008,654015,384.80000000000007,457.40000000000003,172.79999999999995
Vermont,626604,308573,318031,493124,398821,165.0,225.60000000000002,83.09999999999998
Virginia,8256630,4060948,4195682,5948625,3599697,1991.400000000001,2734.2000000000007,969.3
Washington,6985464,3487725,3497739,4937212,1003642,634.1999999999999,837.7999999999998,344.8
West Virginia,1851420,913631,937789,1455848,1194073,1033.5,1454.1,476.90000000000003
Wisconsin,5742117,2851385,2890732,4294321,1890052,901.4000000000001,1244.8000000000002,444.4
Wyoming,579679,295561,284118,430026,672144,268.8,356.2,105.60000000000001
